open_time,open,high,low,close,volume
1672531200000,5.56,5.56,5.56,5.56,0.0
1672532100000,5.57,5.57,5.57,5.57,107.34
1672533000000,5.53,5.53,5.52,5.52,119.92
1672533900000,5.52,5.52,5.52,5.52,110.66
1672534800000,5.53,5.55,5.53,5.55,270.78
1672535700000,5.55,5.55,5.55,5.55,3.95
1672536600000,5.55,5.55,5.55,5.55,0.0
1672537500000,5.55,5.55,5.55,5.55,0.0
1672538400000,5.55,5.55,5.55,5.55,231.75
1672539300000,5.55,5.55,5.55,5.55,0.0
1672540200000,5.55,5.55,5.55,5.55,5.02
1672541100000,5.54,5.54,5.54,5.54,74.92
1672542000000,5.55,5.55,5.55,5.55,11.33
1672542900000,5.54,5.54,5.54,5.54,249.09
1672543800000,5.56,5.56,5.56,5.56,1.81
1672544700000,5.56,5.56,5.56,5.56,0.0
1672545600000,5.53,5.54,5.53,5.54,33.34
1672546500000,5.52,5.52,5.52,5.52,12.93
1672547400000,5.52,5.52,5.52,5.52,0.0
1672548300000,5.53,5.53,5.5,5.51,103.97
1672549200000,5.53,5.53,5.51,5.51,3.62
1672550100000,5.52,5.52,5.52,5.52,8.91
1672551000000,5.52,5.54,5.52,5.54,69.44
1672551900000,5.54,5.54,5.54,5.54,0.0
1672552800000,5.54,5.54,5.54,5.54,0.0
1672553700000,5.54,5.54,5.54,5.54,0.0
1672554600000,5.54,5.54,5.54,5.54,61.66
1672555500000,5.54,5.54,5.54,5.54,0.0
1672556400000,5.54,5.54,5.54,5.54,0.0
1672557300000,5.54,5.54,5.54,5.54,0.0
1672558200000,5.51,5.51,5.51,5.51,69.94
1672559100000,5.51,5.51,5.51,5.51,0.0
1672560000000,5.51,5.51,5.51,5.51,0.0
1672560900000,5.51,5.51,5.51,5.51,0.0
1672561800000,5.51,5.51,5.51,5.51,0.0
1672562700000,5.53,5.53,5.5,5.5,5.42
1672563600000,5.52,5.52,5.52,5.52,3.94
1672564500000,5.52,5.52,5.52,5.52,0.0
1672565400000,5.52,5.52,5.52,5.52,0.0
1672566300000,5.52,5.52,5.52,5.52,0.0
1672567200000,5.52,5.52,5.52,5.52,0.0
1672568100000,5.52,5.52,5.52,5.52,0.0
1672569000000,5.52,5.52,5.52,5.52,0.0
1672569900000,5.52,5.52,5.52,5.52,0.0
1672570800000,5.57,5.58,5.57,5.58,69.7
1672571700000,5.58,5.58,5.58,5.58,0.0
1672572600000,5.58,5.58,5.58,5.58,0.0
