open_time,open,high,low,close,volume
1672531200000,9.9639,10.0201,9.9023,9.9503,895.87
1672532100000,9.9448,10.0073,9.926,9.9993,326.67
1672533000000,9.9769,9.9769,9.9301,9.9523,804.04
1672533900000,9.9388,9.9864,9.9388,9.9864,490.11
1672534800000,9.9712,10.0424,9.9712,10.0185,320.74
1672535700000,10.0287,10.0431,10.0101,10.0429,815.02
1672536600000,10.0429,10.0496,10.0384,10.0384,212.82
1672537500000,10.0376,10.0376,10.0202,10.0205,133.66
1672538400000,10.0116,10.0527,9.9968,10.0349,297.72
1672539300000,10.0623,10.0649,10.0114,10.0367,149.47
1672540200000,10.036,10.0525,10.0349,10.04,206.98
1672541100000,10.0087,10.0129,9.9924,9.9924,227.84
1672542000000,9.9934,9.9934,9.9388,9.9388,247.96
1672542900000,9.9388,9.9488,9.9001,9.9488,155.6
1672543800000,9.9498,9.9498,9.9331,9.9429,5.83
1672544700000,9.9451,9.9549,9.9258,9.9549,200.16
1672545600000,9.9631,9.9631,9.9,9.9,806.62
1672546500000,9.8788,9.8843,9.8574,9.8843,171.13
1672547400000,9.8699,9.8781,9.8699,9.8781,21.72
1672548300000,9.8496,9.862,9.8197,9.8197,37.35
1672549200000,9.8293,9.8361,9.8293,9.8359,15.97
1672550100000,9.8007,9.8114,9.7548,9.7732,339.63
1672551000000,9.7551,9.7551,9.722,9.7224,41.17
1672551900000,9.7312,9.7871,9.7312,9.7871,66.87
1672552800000,9.8387,9.8387,9.8011,9.8011,61.01
1672553700000,9.8219,9.825,9.8219,9.825,105.29
1672554600000,9.7952,9.7991,9.7952,9.7991,61.3
1672555500000,9.7933,9.7933,9.771,9.7724,79.2
1672556400000,9.7967,9.7976,9.7638,9.7638,333.53
1672557300000,9.7651,9.7748,9.692,9.7179,820.52
1672558200000,9.7245,9.7562,9.7245,9.7548,210.53
1672559100000,9.7653,9.7831,9.7613,9.7805,130.61
1672560000000,9.7754,9.7754,9.7491,9.7504,149.42
1672560900000,9.7291,9.75,9.7291,9.7382,70.95
1672561800000,9.7257,9.7257,9.6975,9.6975,38.22
1672562700000,9.7322,9.7322,9.7119,9.7119,75.59
1672563600000,9.7234,9.7424,9.7234,9.7338,71.06
1672564500000,9.7544,9.7544,9.7544,9.7544,2.63
1672565400000,9.7652,9.7652,9.7651,9.7651,7.09
1672566300000,9.785,9.786,9.785,9.786,50.0
1672567200000,9.7824,9.8,9.7824,9.7929,200.16
1672568100000,9.7843,9.7845,9.7843,9.7844,21.05
1672569000000,9.7851,9.7851,9.7851,9.7851,2.26
1672569900000,9.7778,9.7778,9.7778,9.7778,16.05
1672570800000,9.8163,9.9241,9.8093,9.9241,290.4
1672571700000,9.9409,9.9609,9.9409,9.9551,62.13
1672572600000,9.8879,9.9356,9.8877,9.9356,89.82
1672573500000,9.9404,9.9404,9.9404,9.9404,11.0
1672574400000,9.9349,9.9349,9.9349,9.9349,10.51
1672575300000,9.9349,9.9349,9.9349,9.9349,0.0
1672576200000,9.9349,9.9349,9.9349,9.9349,0.0
1672577100000,9.9289,9.9304,9.9289,9.9304,33.35
1672578000000,9.953,9.953,9.9448,9.9448,46.35
1672578900000,9.9448,9.9448,9.9448,9.9448,0.0
1672579800000,9.875,9.8806,9.85,9.85,260.32
1672580700000,9.85,9.85,9.85,9.85,0.0
1672581600000,9.8779,9.8914,9.8779,9.8847,199.53
1672582500000,9.8847,9.8847,9.8847,9.8847,0.0
1672583400000,9.8895,9.8895,9.8503,9.8503,120.76
1672584300000,9.837,9.837,9.837,9.837,21.4
1672585200000,9.8522,9.8522,9.842,9.842,42.79
1672586100000,9.8157,9.8157,9.7951,9.7951,106.74
1672587000000,9.8152,9.8432,9.8151,9.8344,173.17
1672587900000,9.8164,9.8688,9.8052,9.8688,180.97
1672588800000,9.8836,9.8837,9.8836,9.8837,20.0
