ts,symbol,side,price,qty,fee,fee_currency
2023-01-04T15:00:00Z,BTC/USDT,buy,16398.18920710,0.04881027,0.80040004,USDT
2023-01-04T21:00:00Z,BTC/USDT,sell,16828.44184286,0.04881027,0.82140079,USDT
2023-01-11T05:00:00Z,BTC/USDT,buy,19682.76995674,0.04074381,0.80195104,USDT
2023-01-11T15:00:00Z,BTC/USDT,sell,20299.55604455,0.04074381,0.82708125,USDT
2023-01-12T12:00:00Z,BTC/USDT,buy,20057.35479757,0.04007668,0.80383219,USDT
2023-01-13T09:00:00Z,BTC/USDT,stop_sell,19546.46988236,0.04007668,0.78335762,USDT
2023-01-13T10:00:00Z,BTC/USDT,buy,19788.29954617,0.04053235,0.80206628,USDT
2023-01-13T12:00:00Z,BTC/USDT,sell,20053.02938054,0.04053235,0.81279641,USDT
2023-01-17T00:00:00Z,BTC/USDT,buy,20747.95859990,0.03869277,0.80279599,USDT
2023-01-17T01:00:00Z,BTC/USDT,sell,20876.06175650,0.03869277,0.80775266,USDT
2023-01-18T03:00:00Z,BTC/USDT,buy,20860.14570042,0.03849751,0.80306367,USDT
2023-01-18T17:00:00Z,BTC/USDT,sell,21012.10571449,0.03849751,0.80891375,USDT
2023-01-19T17:00:00Z,BTC/USDT,buy,20117.61189006,0.0399353,0.80340287,USDT
2023-01-19T23:00:00Z,BTC/USDT,sell,19978.45862657,0.0399353,0.79784574,USDT
2023-01-21T04:00:00Z,BTC/USDT,buy,19540.16020250,0.04108615,0.80282995,USDT
2023-01-22T00:00:00Z,BTC/USDT,stop_sell,19121.47467094,0.04108615,0.78562778,USDT
2023-01-22T23:00:00Z,BTC/USDT,buy,19460.91592316,0.04117617,0.80132598,USDT
2023-01-23T04:00:00Z,BTC/USDT,sell,19753.02171642,0.04117617,0.81335378,USDT
2023-01-23T09:00:00Z,BTC/USDT,buy,19478.96440990,0.04118081,0.80215953,USDT
2023-01-23T12:00:00Z,BTC/USDT,sell,19732.77902782,0.04118081,0.81261182,USDT
2023-01-25T06:00:00Z,BTC/USDT,buy,19375.25073998,0.04143775,0.80286680,USDT
2023-01-25T18:00:00Z,BTC/USDT,sell,19514.12187509,0.04143775,0.80862130,USDT
2023-01-26T16:00:00Z,BTC/USDT,buy,19299.17824674,0.04161827,0.80319841,USDT
2023-01-26T20:00:00Z,BTC/USDT,stop_sell,18890.66834623,0.04161827,0.78619694,USDT
2023-01-26T21:00:00Z,BTC/USDT,buy,18998.05114243,0.04219961,0.80171035,USDT
2023-01-26T23:00:00Z,BTC/USDT,sell,19051.21485738,0.04219961,0.80395384,USDT
2023-01-29T00:00:00Z,BTC/USDT,buy,18645.77820599,0.04299962,0.80176138,USDT
2023-01-29T06:00:00Z,BTC/USDT,stop_sell,18266.71203873,0.04299962,0.78546168,USDT
2023-01-29T07:00:00Z,BTC/USDT,buy,18232.03804029,0.04389689,0.80032977,USDT
2023-01-29T21:00:00Z,BTC/USDT,sell,18341.10992247,0.04389689,0.80511768,USDT
2023-01-30T03:00:00Z,BTC/USDT,buy,17397.83866905,0.04601632,0.80058451,USDT
2023-01-30T06:00:00Z,BTC/USDT,stop_sell,16975.09288373,0.04601632,0.78113131,USDT
2023-01-31T20:00:00Z,BTC/USDT,buy,17305.30971169,0.04616507,0.79890083,USDT
2023-01-31T23:00:00Z,BTC/USDT,stop_sell,16925.64056433,0.04616507,0.78137338,USDT
2023-02-01T00:00:00Z,BTC/USDT,buy,16962.39995350,0.04700818,0.79737155,USDT
2023-02-01T01:00:00Z,BTC/USDT,sell,17117.56674410,0.04700818,0.80466566,USDT
2023-02-03T16:00:00Z,BTC/USDT,buy,16555.87908464,0.04818995,0.79782699,USDT
2023-02-03T21:00:00Z,BTC/USDT,sell,16245.19765784,0.04818995,0.78285526,USDT
2023-02-04T00:00:00Z,BTC/USDT,buy,16428.31621908,0.0484835,0.79650227,USDT
2023-02-04T06:00:00Z,BTC/USDT,sell,16193.23627153,0.0484835,0.78510477,USDT
2023-02-08T09:00:00Z,BTC/USDT,buy,15621.01061301,0.05092266,0.79546341,USDT
2023-02-08T11:00:00Z,BTC/USDT,stop_sell,15246.75794929,0.05092266,0.77640547,USDT
2023-02-12T09:00:00Z,BTC/USDT,buy,14275.99112235,0.0556047,0.79381220,USDT
2023-02-12T12:00:00Z,BTC/USDT,sell,14626.54153577,0.0556047,0.81330445,USDT
2023-02-14T23:00:00Z,BTC/USDT,buy,14689.22771939,0.05413788,0.79524365,USDT
2023-02-15T03:00:00Z,BTC/USDT,sell,14535.51502379,0.05413788,0.78692197,USDT
2023-02-17T17:00:00Z,BTC/USDT,buy,13414.96310749,0.05922126,0.79445102,USDT
2023-02-17T23:00:00Z,BTC/USDT,sell,13349.09157427,0.05922126,0.79055002,USDT
2023-02-18T13:00:00Z,BTC/USDT,buy,13009.68064053,0.06103239,0.79401190,USDT
2023-02-19T00:00:00Z,BTC/USDT,sell,13334.25868842,0.06103239,0.81382168,USDT
2023-02-20T02:00:00Z,BTC/USDT,buy,13248.12099312,0.06004389,0.79546872,USDT
2023-02-20T05:00:00Z,BTC/USDT,stop_sell,12973.07285229,0.06004389,0.77895376,USDT
2023-02-20T06:00:00Z,BTC/USDT,buy,12956.89556418,0.06128172,0.79402085,USDT
2023-02-20T13:00:00Z,BTC/USDT,sell,13350.67862835,0.06128172,0.81815255,USDT
2023-02-21T03:00:00Z,BTC/USDT,buy,12827.38163658,0.06204098,0.79582333,USDT
2023-02-21T05:00:00Z,BTC/USDT,stop_sell,12577.15911501,0.06204098,0.78029928,USDT
2023-02-21T06:00:00Z,BTC/USDT,buy,12468.95046355,0.06371464,0.79445469,USDT
2023-02-21T09:00:00Z,BTC/USDT,sell,12350.59806277,0.06371464,0.78691391,USDT
2023-02-25T19:00:00Z,BTC/USDT,buy,13183.83923130,0.06020435,0.79372447,USDT
2023-02-25T22:00:00Z,BTC/USDT,stop_sell,12954.15732236,0.06020435,0.77989662,USDT
2023-02-25T23:00:00Z,BTC/USDT,buy,12976.86586634,0.06106958,0.79249175,USDT
2023-02-26T01:00:00Z,BTC/USDT,stop_sell,12742.86839292,0.06106958,0.77820162,USDT
