ts,symbol,side,price,qty,fee,fee_currency
2023-01-05T11:00:00Z,LINK/USDT,buy,5.25167753,152.40844396,0.80040000,USDT
2023-01-05T22:00:00Z,LINK/USDT,sell,5.28875730,152.40844396,0.80605127,USDT
2023-01-08T05:00:00Z,LINK/USDT,buy,5.41757443,147.80115292,0.80072375,USDT
2023-01-08T07:00:00Z,LINK/USDT,stop_sell,5.30094070,147.80115292,0.78348515,USDT
2023-01-08T08:00:00Z,LINK/USDT,buy,5.31618376,150.33663343,0.79921717,USDT
2023-01-08T14:00:00Z,LINK/USDT,sell,5.35293519,150.33663343,0.80474226,USDT
2023-01-20T22:00:00Z,LINK/USDT,buy,4.79248204,166.83025819,0.79953102,USDT
2023-01-21T10:00:00Z,LINK/USDT,sell,4.81773693,166.83025819,0.80374430,USDT
2023-01-22T07:00:00Z,LINK/USDT,buy,4.70444505,169.99665496,0.79973992,USDT
2023-01-22T13:00:00Z,LINK/USDT,stop_sell,4.59267690,169.99665496,0.78073971,USDT
2023-01-23T12:00:00Z,LINK/USDT,buy,4.52755264,176.27462461,0.79809264,USDT
2023-01-23T15:00:00Z,LINK/USDT,sell,4.49484745,176.27462461,0.79232755,USDT
2023-01-25T07:00:00Z,LINK/USDT,buy,4.45307242,179.09071123,0.79750391,USDT
2023-01-25T17:00:00Z,LINK/USDT,sell,4.43919529,179.09071123,0.79501864,USDT
2023-01-26T13:00:00Z,LINK/USDT,buy,4.34605094,183.42571968,0.79717752,USDT
2023-01-27T00:00:00Z,LINK/USDT,sell,4.40423678,183.42571968,0.80785030,USDT
2023-02-01T18:00:00Z,LINK/USDT,buy,4.05954576,196.54989786,0.79790330,USDT
2023-02-01T21:00:00Z,LINK/USDT,sell,4.12674460,196.54989786,0.81111123,USDT
2023-02-02T17:00:00Z,LINK/USDT,buy,3.93998901,202.74972315,0.79883168,USDT
2023-02-02T22:00:00Z,LINK/USDT,stop_sell,3.84313336,202.74972315,0.77919422,USDT
2023-02-05T20:00:00Z,LINK/USDT,buy,4.05164981,196.74296415,0.79713359,USDT
2023-02-06T05:00:00Z,LINK/USDT,sell,4.14951321,196.74296415,0.81638753,USDT
2023-02-07T11:00:00Z,LINK/USDT,buy,4.03057328,198.12207277,0.79854553,USDT
2023-02-07T19:00:00Z,LINK/USDT,stop_sell,3.93117979,198.12207277,0.77885349,USDT
2023-02-07T20:00:00Z,LINK/USDT,buy,3.96576289,200.93060234,0.79684313,USDT
2023-02-07T23:00:00Z,LINK/USDT,stop_sell,3.86168123,200.93060234,0.77592994,USDT
2023-02-08T00:00:00Z,LINK/USDT,buy,3.85117963,206.44151317,0.79504335,USDT
2023-02-08T01:00:00Z,LINK/USDT,sell,3.87399104,206.44151317,0.79975257,USDT
2023-02-08T17:00:00Z,LINK/USDT,buy,3.80832321,208.83012933,0.79529263,USDT
