ts,symbol,side,price,qty,fee,fee_currency
2023-01-01T11:15:00Z,LINK/USDT,buy,5.58279000,143.36917563,0.80040000,USDT
2023-01-01T13:30:00Z,LINK/USDT,stop_sell,5.53723000,143.36917563,0.79386810,USDT
2023-01-01T16:15:00Z,LINK/USDT,buy,5.60280000,142.74105475,0.79974958,USDT
2023-01-01T23:15:00Z,LINK/USDT,sell,5.60719500,142.74105475,0.80037693,USDT
2023-01-02T07:15:00Z,LINK/USDT,buy,5.66283000,140.71691623,0.79685597,USDT
2023-01-02T07:15:00Z,LINK/USDT,stop_sell,5.65717000,140.71691623,0.79605952,USDT
2023-01-02T07:30:00Z,LINK/USDT,buy,5.70285000,140.68326309,0.80229555,USDT
2023-01-02T10:00:00Z,LINK/USDT,sell,5.71714000,140.68326309,0.80430591,USDT
2023-01-02T10:15:00Z,LINK/USDT,buy,5.72286000,139.70511107,0.79951279,USDT
2023-01-02T11:30:00Z,LINK/USDT,stop_sell,5.67716000,139.70511107,0.79312827,USDT
2023-01-02T18:00:00Z,LINK/USDT,buy,5.72286000,139.59354234,0.79887430,USDT
2023-01-02T18:30:00Z,LINK/USDT,stop_sell,5.68715500,139.59354234,0.79389011,USDT
2023-01-02T22:00:00Z,LINK/USDT,buy,5.75287500,138.77372279,0.79834788,USDT
2023-01-02T22:30:00Z,LINK/USDT,stop_sell,5.71714000,138.77372279,0.79338880,USDT
2023-01-04T01:30:00Z,LINK/USDT,buy,5.70285000,140.88778106,0.80346188,USDT
2023-01-04T08:00:00Z,LINK/USDT,sell,5.78710500,140.88778106,0.81533238,USDT
2023-01-04T13:15:00Z,LINK/USDT,buy,5.80290000,137.62844435,0.79864410,USDT
2023-01-04T13:45:00Z,LINK/USDT,stop_sell,5.78710500,137.62844435,0.79647026,USDT
2023-01-04T14:00:00Z,LINK/USDT,buy,5.80290000,137.33966623,0.79696835,USDT
2023-01-04T14:00:00Z,LINK/USDT,stop_sell,5.79424429,137.33966623,0.79577958,USDT
2023-01-05T19:00:00Z,LINK/USDT,buy,5.77288500,137.77563716,0.79536291,USDT
2023-01-05T19:00:00Z,LINK/USDT,stop_sell,5.76711500,137.77563716,0.79456794,USDT
2023-01-06T12:15:00Z,LINK/USDT,buy,5.59279500,141.90927891,0.79366951,USDT
2023-01-06T12:15:00Z,LINK/USDT,stop_sell,5.58720500,141.90927891,0.79287623,USDT
2023-01-06T14:45:00Z,LINK/USDT,buy,5.61280500,141.87540249,0.79631897,USDT
2023-01-06T21:00:00Z,LINK/USDT,sell,5.67716000,141.87540249,0.80544936,USDT
2023-01-07T02:00:00Z,LINK/USDT,buy,5.79289500,138.0522581,0.79972224,USDT
2023-01-07T02:45:00Z,LINK/USDT,stop_sell,5.75890482,138.0522581,0.79502981,USDT
2023-01-07T13:15:00Z,LINK/USDT,buy,5.80290000,137.4894962,0.79783780,USDT
2023-01-07T13:45:00Z,LINK/USDT,stop_sell,5.78710500,137.4894962,0.79566615,USDT
2023-01-07T15:30:00Z,LINK/USDT,buy,5.82291000,137.43756309,0.80028656,USDT
2023-01-07T16:30:00Z,LINK/USDT,stop_sell,5.78424929,137.43756309,0.79497313,USDT
2023-01-08T06:00:00Z,LINK/USDT,buy,5.87293500,136.16840521,0.79970819,USDT
2023-01-08T06:30:00Z,LINK/USDT,stop_sell,5.82708500,136.16840521,0.79346487,USDT
2023-01-08T15:45:00Z,LINK/USDT,buy,5.84292000,136.29422104,0.79635623,USDT
2023-01-08T16:15:00Z,LINK/USDT,stop_sell,5.81709000,136.29422104,0.79283575,USDT
2023-01-08T20:45:00Z,LINK/USDT,buy,5.86293000,135.29753013,0.79323995,USDT
2023-01-08T20:45:00Z,LINK/USDT,stop_sell,5.85707000,135.29753013,0.79244710,USDT
2023-01-09T00:15:00Z,LINK/USDT,buy,5.97298500,133.00320982,0.79442618,USDT
2023-01-09T00:15:00Z,LINK/USDT,stop_sell,5.93417429,133.00320982,0.78926423,USDT
2023-01-09T02:45:00Z,LINK/USDT,buy,6.13306500,130.08503168,0.79781995,USDT
2023-01-09T06:30:00Z,LINK/USDT,sell,6.08695500,130.08503168,0.79182173,USDT
2023-01-09T10:45:00Z,LINK/USDT,buy,6.22311000,127.68689945,0.79460962,USDT
2023-01-09T11:15:00Z,LINK/USDT,stop_sell,6.17691000,127.68689945,0.78871049,USDT
2023-01-10T09:00:00Z,LINK/USDT,buy,6.11305500,129.88771165,0.79401073,USDT
2023-01-10T10:15:00Z,LINK/USDT,sell,6.12693500,129.88771165,0.79581357,USDT
2023-01-10T10:30:00Z,LINK/USDT,buy,6.14307000,129.2558566,0.79402778,USDT
2023-01-10T11:30:00Z,LINK/USDT,stop_sell,6.11694000,129.2558566,0.79065032,USDT
2023-01-10T14:45:00Z,LINK/USDT,buy,6.12306000,128.77175144,0.78847716,USDT
2023-01-10T14:45:00Z,LINK/USDT,stop_sell,6.11694000,128.77175144,0.78768908,USDT
2023-01-10T18:15:00Z,LINK/USDT,buy,6.20310000,128.11709998,0.79472318,USDT
2023-01-10T20:45:00Z,LINK/USDT,sell,6.21689000,128.11709998,0.79648992,USDT
2023-01-11T22:45:00Z,LINK/USDT,buy,6.18309000,128.32668133,0.79345542,USDT
2023-01-12T05:30:00Z,LINK/USDT,sell,6.31684000,128.32668133,0.81061911,USDT
2023-01-13T09:15:00Z,LINK/USDT,buy,6.38319000,123.91632764,0.79098146,USDT
2023-01-13T09:15:00Z,LINK/USDT,stop_sell,6.37681000,123.91632764,0.79019088,USDT
2023-01-13T18:00:00Z,LINK/USDT,buy,6.38319000,124.66466554,0.79575825,USDT
2023-01-13T23:00:00Z,LINK/USDT,sell,6.55672000,124.66466554,0.81739131,USDT
2023-01-14T00:45:00Z,LINK/USDT,buy,6.77338500,117.8837796,0.79847222,USDT
2023-01-14T03:15:00Z,LINK/USDT,sell,6.79660000,117.8837796,0.80120890,USDT
2023-01-14T07:00:00Z,LINK/USDT,buy,7.03351500,113.52446099,0.79847600,USDT
