ts,symbol,side,price,qty,fee,fee_currency
2023-01-01T11:15:00Z,SOL/USDT,buy,9.94587045,80.6118439,0.80175496,USDT
2023-01-01T13:30:00Z,SOL/USDT,stop_sell,9.87006250,80.6118439,0.79564394,USDT
2023-01-01T18:30:00Z,SOL/USDT,buy,10.02941220,79.74375789,0.79978302,USDT
2023-01-01T19:45:00Z,SOL/USDT,stop_sell,9.96421540,79.74375789,0.79458398,USDT
2023-01-02T07:15:00Z,SOL/USDT,buy,11.81370390,67.67821868,0.79953044,USDT
2023-01-02T07:15:00Z,SOL/USDT,stop_sell,11.55681870,67.67821868,0.78214490,USDT
2023-01-02T20:00:00Z,SOL/USDT,buy,11.25592515,70.6576817,0.79531758,USDT
2023-01-02T20:00:00Z,SOL/USDT,stop_sell,11.20172491,70.6576817,0.79148791,USDT
2023-01-02T21:00:00Z,SOL/USDT,buy,11.35707570,70.25692396,0.79791320,USDT
2023-01-02T22:45:00Z,SOL/USDT,sell,11.29185125,70.25692396,0.79333073,USDT
2023-01-03T05:30:00Z,SOL/USDT,buy,11.64551985,68.12270226,0.79332428,USDT
2023-01-03T08:30:00Z,SOL/USDT,sell,11.80049680,68.12270226,0.80388173,USDT
2023-01-03T14:00:00Z,SOL/USDT,buy,12.04451925,66.24053337,0.79783538,USDT
2023-01-03T17:30:00Z,SOL/USDT,sell,12.93153100,66.24053337,0.85659151,USDT
2023-01-04T00:15:00Z,SOL/USDT,buy,13.49454390,59.62398248,0.80459845,USDT
2023-01-04T03:45:00Z,SOL/USDT,sell,13.54062630,59.62398248,0.80734607,USDT
2023-01-05T20:00:00Z,SOL/USDT,buy,13.43121225,59.73069354,0.80225562,USDT
2023-01-05T22:15:00Z,SOL/USDT,sell,13.53323000,59.73069354,0.80834921,USDT
2023-01-07T00:00:00Z,SOL/USDT,buy,13.50965145,59.3901801,0.80234063,USDT
2023-01-07T00:00:00Z,SOL/USDT,stop_sell,13.40568666,59.3901801,0.79616615,USDT
2023-01-08T02:00:00Z,SOL/USDT,buy,13.19849595,60.71845337,0.80139226,USDT
2023-01-08T05:00:00Z,SOL/USDT,sell,13.27515910,60.71845337,0.80604713,USDT
2023-01-08T09:00:00Z,SOL/USDT,buy,13.57308315,58.94496027,0.80006485,USDT
2023-01-08T09:30:00Z,SOL/USDT,stop_sell,13.51679893,58.94496027,0.79674718,USDT
2023-01-08T14:45:00Z,SOL/USDT,buy,13.67283300,58.60025649,0.80123152,USDT
2023-01-08T16:30:00Z,SOL/USDT,sell,13.66736290,58.60025649,0.80091097,USDT
2023-01-08T23:30:00Z,SOL/USDT,buy,13.90114710,57.70247907,0.80213065,USDT
2023-01-09T06:00:00Z,SOL/USDT,sell,16.08685255,57.70247907,0.92825127,USDT
2023-01-09T11:30:00Z,SOL/USDT,buy,16.61600385,48.85951592,0.81184990,USDT
2023-01-09T11:45:00Z,SOL/USDT,stop_sell,16.34573733,48.85951592,0.79864481,USDT
2023-01-09T15:15:00Z,SOL/USDT,buy,16.66162665,48.63724694,0.81037565,USDT
2023-01-09T17:00:00Z,SOL/USDT,sell,16.84797180,48.63724694,0.81943896,USDT
2023-01-10T20:30:00Z,SOL/USDT,buy,16.45082130,49.26520501,0.81045308,USDT
2023-01-10T22:15:00Z,SOL/USDT,sell,16.30654265,49.26520501,0.80334517,USDT
2023-01-11T19:45:00Z,SOL/USDT,buy,16.09674435,50.27953831,0.80933687,USDT
2023-01-11T21:00:00Z,SOL/USDT,stop_sell,15.90086345,50.27953831,0.79948807,USDT
2023-01-11T23:30:00Z,SOL/USDT,buy,16.37178180,49.52922936,0.81088174,USDT
2023-01-12T02:45:00Z,SOL/USDT,sell,16.49584795,49.52922936,0.81702664,USDT
2023-01-12T14:00:00Z,SOL/USDT,buy,16.38118650,49.45415839,0.81011779,USDT
2023-01-12T14:30:00Z,SOL/USDT,stop_sell,16.10931988,49.45415839,0.79667286,USDT
2023-01-13T04:00:00Z,SOL/USDT,buy,16.73596380,48.30987222,0.80851227,USDT
2023-01-13T05:45:00Z,SOL/USDT,sell,16.82838160,48.30987222,0.81297696,USDT
2023-01-13T20:00:00Z,SOL/USDT,buy,17.17458300,47.03755476,0.80785039,USDT
2023-01-14T09:15:00Z,SOL/USDT,sell,22.51686060,47.03755476,1.05913806,USDT
2023-01-14T23:00:00Z,SOL/USDT,buy,23.67052935,35.00992573,0.82870347,USDT
2023-01-15T00:30:00Z,SOL/USDT,stop_sell,23.22579558,35.00992573,0.81313338,USDT
2023-01-15T12:15:00Z,SOL/USDT,buy,23.02880865,35.92615784,0.82733661,USDT
2023-01-15T16:30:00Z,SOL/USDT,sell,23.24227305,35.92615784,0.83500557,USDT
2023-01-16T01:15:00Z,SOL/USDT,buy,23.50244535,35.301796,0.82967853,USDT
2023-01-16T03:15:00Z,SOL/USDT,sell,23.37040895,35.301796,0.82501741,USDT
2023-01-16T06:45:00Z,SOL/USDT,buy,24.31835310,33.95884297,0.82582313,USDT
2023-01-16T08:00:00Z,SOL/USDT,stop_sell,24.01378353,33.95884297,0.81548030,USDT
2023-01-16T19:15:00Z,SOL/USDT,buy,23.89954380,34.63348281,0.82772444,USDT
2023-01-16T21:15:00Z,SOL/USDT,sell,23.60289265,34.63348281,0.81745038,USDT
2023-01-17T11:30:00Z,SOL/USDT,buy,23.83521165,34.63881633,0.82562352,USDT
2023-01-17T12:45:00Z,SOL/USDT,sell,23.68854980,34.63881633,0.82054333,USDT
2023-01-18T14:15:00Z,SOL/USDT,buy,23.27112975,35.4643957,0.82529655,USDT
