ts,symbol,side,price,qty,fee,fee_currency
2023-01-01T05:30:00Z,BTC/USDT,buy,16529.18046000,0.04842709,0.80046011,USDT
2023-01-01T05:45:00Z,BTC/USDT,sell,16511.66004000,0.04842709,0.79961165,USDT
2023-01-01T06:15:00Z,BTC/USDT,buy,16544.68821000,0.04837324,0.80032017,USDT
2023-01-01T06:45:00Z,BTC/USDT,sell,16534.81845500,0.04837324,0.79984274,USDT
2023-01-01T07:00:00Z,BTC/USDT,buy,16549.47060000,0.04834822,0.80013745,USDT
2023-01-01T07:00:00Z,BTC/USDT,stop_sell,16515.07476036,0.04834822,0.79847447,USDT
2023-01-01T08:00:00Z,BTC/USDT,buy,16536.30402000,0.04836461,0.79977189,USDT
2023-01-01T08:15:00Z,BTC/USDT,sell,16508.57158500,0.04836461,0.79843063,USDT
2023-01-01T09:45:00Z,BTC/USDT,buy,16541.65669500,0.04834073,0.79963576,USDT
2023-01-01T11:30:00Z,BTC/USDT,sell,16537.02735000,0.04834073,0.79941197,USDT
2023-01-01T23:45:00Z,BTC/USDT,buy,16614.38304000,0.04810435,0.79922410,USDT
2023-01-02T00:15:00Z,BTC/USDT,sell,16606.31269000,0.04810435,0.79883588,USDT
2023-01-02T03:45:00Z,BTC/USDT,buy,16613.00235000,0.04810637,0.79919124,USDT
2023-01-02T06:15:00Z,BTC/USDT,sell,16645.22322500,0.04810637,0.80074127,USDT
2023-01-02T19:45:00Z,BTC/USDT,buy,16732.76220000,0.04777116,0.79934346,USDT
2023-01-02T20:00:00Z,BTC/USDT,sell,16728.10176500,0.04777116,0.79912083,USDT
2023-01-03T04:45:00Z,BTC/USDT,buy,16699.58562000,0.04784986,0.79907283,USDT
2023-01-03T05:30:00Z,BTC/USDT,sell,16685.56304500,0.04784986,0.79840186,USDT
2023-01-03T05:45:00Z,BTC/USDT,buy,16720.05585000,0.04778431,0.79895633,USDT
2023-01-03T06:30:00Z,BTC/USDT,sell,16753.48906500,0.04778431,0.80055392,USDT
2023-01-03T13:15:00Z,BTC/USDT,buy,16732.43203500,0.0477481,0.79894184,USDT
2023-01-03T13:30:00Z,BTC/USDT,sell,16712.16973500,0.0477481,0.79797435,USDT
2023-01-03T21:30:00Z,BTC/USDT,buy,16674.34300500,0.04789878,0.79868069,USDT
2023-01-04T01:00:00Z,BTC/USDT,sell,16650.83042000,0.04789878,0.79755446,USDT
2023-01-04T01:15:00Z,BTC/USDT,buy,16707.44955000,0.04780579,0.79871282,USDT
2023-01-04T01:30:00Z,BTC/USDT,sell,16706.11276500,0.04780579,0.79864892,USDT
2023-01-04T08:30:00Z,BTC/USDT,buy,16860.91624500,0.04736339,0.79859015,USDT
2023-01-04T08:45:00Z,BTC/USDT,sell,16844.06375500,0.04736339,0.79779196,USDT
2023-01-04T16:00:00Z,BTC/USDT,buy,16866.22890000,0.04734114,0.79846650,USDT
2023-01-04T18:00:00Z,BTC/USDT,sell,16888.05175000,0.04734114,0.79949962,USDT
2023-01-04T18:30:00Z,BTC/USDT,buy,16927.35945000,0.0471511,0.79814362,USDT
2023-01-04T19:15:00Z,BTC/USDT,sell,16868.03176500,0.0471511,0.79534625,USDT
2023-01-04T19:45:00Z,BTC/USDT,buy,16844.14786500,0.04736312,0.79779140,USDT
2023-01-04T20:45:00Z,BTC/USDT,sell,16795.21819000,0.04736312,0.79547393,USDT
2023-01-05T11:15:00Z,BTC/USDT,buy,16837.43451000,0.04736071,0.79743285,USDT
2023-01-05T11:30:00Z,BTC/USDT,sell,16811.57001000,0.04736071,0.79620789,USDT
2023-01-05T11:45:00Z,BTC/USDT,buy,16838.11485000,0.04734765,0.79724517,USDT
2023-01-05T13:00:00Z,BTC/USDT,sell,16810.52053500,0.04734765,0.79593864,USDT
2023-01-05T13:15:00Z,BTC/USDT,buy,16832.62210500,0.04733035,0.79669390,USDT
2023-01-05T13:15:00Z,BTC/USDT,stop_sell,16802.01907357,0.04733035,0.79524544,USDT
2023-01-05T13:30:00Z,BTC/USDT,buy,16815.43351500,0.04737791,0.79668010,USDT
2023-01-05T13:30:00Z,BTC/USDT,stop_sell,16779.53960464,0.04737791,0.79497952,USDT
2023-01-05T14:15:00Z,BTC/USDT,buy,16813.81270500,0.04737656,0.79658061,USDT
2023-01-05T14:45:00Z,BTC/USDT,sell,16781.96482000,0.04737656,0.79507176,USDT
2023-01-05T17:15:00Z,BTC/USDT,buy,16843.99779000,0.04727169,0.79624424,USDT
2023-01-05T17:45:00Z,BTC/USDT,sell,16810.64047500,0.04727169,0.79466739,USDT
2023-01-05T22:15:00Z,BTC/USDT,buy,16863.63760500,0.04720295,0.79601344,USDT
2023-01-05T23:00:00Z,BTC/USDT,stop_sell,16824.65489286,0.04720295,0.79417334,USDT
2023-01-05T23:15:00Z,BTC/USDT,buy,16848.04981500,0.0472255,0.79565758,USDT
2023-01-05T23:15:00Z,BTC/USDT,stop_sell,16810.74185286,0.0472255,0.79389569,USDT
2023-01-06T03:45:00Z,BTC/USDT,buy,16846.18888500,0.04720961,0.79530201,USDT
2023-01-06T04:00:00Z,BTC/USDT,sell,16826.66246000,0.04720961,0.79438017,USDT
2023-01-06T23:00:00Z,BTC/USDT,buy,16967.41947000,0.046868,0.79522902,USDT
2023-01-06T23:45:00Z,BTC/USDT,sell,16936.94729000,0.046868,0.79380085,USDT
2023-01-07T00:00:00Z,BTC/USDT,buy,16960.57605000,0.04687303,0.79499359,USDT
2023-01-07T00:30:00Z,BTC/USDT,sell,16937.95678500,0.04687303,0.79393336,USDT
2023-01-07T00:45:00Z,BTC/USDT,buy,16970.98125000,0.04682625,0.79468741,USDT
2023-01-07T01:00:00Z,BTC/USDT,sell,16968.17167000,0.04682625,0.79455585,USDT
2023-01-07T07:45:00Z,BTC/USDT,buy,16957.14433500,0.04686773,0.79474286,USDT
2023-01-07T08:00:00Z,BTC/USDT,sell,16939.33609500,0.04686773,0.79390823,USDT
2023-01-07T14:30:00Z,BTC/USDT,buy,16937.99476500,0.04690907,0.79454558,USDT
2023-01-07T14:45:00Z,BTC/USDT,sell,16932.58947000,0.04690907,0.79429202,USDT
2023-01-07T18:30:00Z,BTC/USDT,buy,16943.15734500,0.04688793,0.79442958,USDT
2023-01-07T19:30:00Z,BTC/USDT,sell,16929.21116000,0.04688793,0.79377567,USDT
