ts,symbol,side,price,qty,fee,fee_currency
2023-01-01T22:00:00Z,BTC/USDT,buy,16644.23309457,0.04808873,0.80040003,USDT
2023-01-02T00:00:00Z,BTC/USDT,sell,16410.02653018,0.04808873,0.78913734,USDT
2023-01-02T02:00:00Z,BTC/USDT,buy,16595.43372108,0.04816815,0.79937134,USDT
2023-01-02T09:00:00Z,BTC/USDT,sell,16470.53114074,0.04816815,0.79335501,USDT
2023-01-03T15:00:00Z,BTC/USDT,buy,16795.78635633,0.0475573,0.79876225,USDT
2023-01-03T19:00:00Z,BTC/USDT,stop_sell,16411.04063255,0.0475573,0.78046478,USDT
2023-01-03T22:00:00Z,BTC/USDT,buy,16489.83205863,0.04834321,0.79717141,USDT
2023-01-04T10:00:00Z,BTC/USDT,sell,16798.37769846,0.04834321,0.81208750,USDT
2023-01-05T00:00:00Z,BTC/USDT,buy,16867.11772219,0.047325,0.79823635,USDT
2023-01-06T01:00:00Z,BTC/USDT,sell,17437.07434438,0.047325,0.82520954,USDT
2023-01-06T10:00:00Z,BTC/USDT,buy,17811.42822348,0.04492988,0.80026533,USDT
2023-01-07T19:00:00Z,BTC/USDT,sell,18730.67411593,0.04492988,0.84156694,USDT
2023-01-07T21:00:00Z,BTC/USDT,buy,19095.28808060,0.04207529,0.80343978,USDT
2023-01-08T20:00:00Z,BTC/USDT,sell,19235.03585591,0.04207529,0.80931971,USDT
2023-01-09T01:00:00Z,BTC/USDT,buy,19329.00928080,0.0415842,0.80378139,USDT
2023-01-09T06:00:00Z,BTC/USDT,sell,19426.63577103,0.0415842,0.80784111,USDT
2023-01-09T07:00:00Z,BTC/USDT,buy,19431.84887790,0.0413742,0.80397720,USDT
2023-01-10T19:00:00Z,BTC/USDT,sell,20322.92176884,0.0413742,0.84084463,USDT
2023-01-10T20:00:00Z,BTC/USDT,buy,20350.75435103,0.03964455,0.80679650,USDT
2023-01-11T01:00:00Z,BTC/USDT,sell,20131.78842932,0.03964455,0.79811569,USDT
2023-01-12T08:00:00Z,BTC/USDT,buy,20616.79679277,0.03909304,0.80597326,USDT
2023-01-12T09:00:00Z,BTC/USDT,stop_sell,20122.60114797,0.03909304,0.78665365,USDT
2023-01-13T19:00:00Z,BTC/USDT,buy,20305.98258333,0.03960899,0.80429946,USDT
2023-01-14T05:00:00Z,BTC/USDT,sell,20117.26187823,0.03960899,0.79682442,USDT
2023-01-14T20:00:00Z,BTC/USDT,buy,20630.84927750,0.03895007,0.80357302,USDT
2023-01-14T21:00:00Z,BTC/USDT,sell,20498.19761508,0.03895007,0.79840623,USDT
2023-01-15T00:00:00Z,BTC/USDT,buy,20676.86899386,0.03883718,0.80303128,USDT
2023-01-15T04:00:00Z,BTC/USDT,sell,20639.34074821,0.03883718,0.80157379,USDT
2023-01-15T15:00:00Z,BTC/USDT,buy,20739.81863195,0.03870748,0.80278611,USDT
2023-01-16T06:00:00Z,BTC/USDT,sell,20771.25888015,0.03870748,0.80400309,USDT
2023-01-16T09:00:00Z,BTC/USDT,buy,21168.04996361,0.03792295,0.80275490,USDT
2023-01-16T15:00:00Z,BTC/USDT,sell,20961.78979204,0.03792295,0.79493291,USDT
2023-01-18T17:00:00Z,BTC/USDT,buy,21033.12833151,0.03813037,0.80200097,USDT
2023-01-18T19:00:00Z,BTC/USDT,sell,20899.83904490,0.03813037,0.79691860,USDT
2023-01-18T22:00:00Z,BTC/USDT,buy,20900.60358725,0.03834656,0.80146625,USDT
2023-01-18T22:00:00Z,BTC/USDT,stop_sell,20525.55903956,0.03834656,0.78708458,USDT
2023-01-19T00:00:00Z,BTC/USDT,buy,20762.74790386,0.0385396,0.80018800,USDT
2023-01-19T12:00:00Z,BTC/USDT,sell,20486.04298244,0.0385396,0.78952390,USDT
2023-01-20T18:00:00Z,BTC/USDT,buy,20115.49811169,0.03973091,0.79920705,USDT
2023-01-20T20:00:00Z,BTC/USDT,sell,19863.30719809,0.03973091,0.78918727,USDT
2023-01-22T06:00:00Z,BTC/USDT,buy,19961.86219613,0.03999016,0.79827806,USDT
2023-01-22T22:00:00Z,BTC/USDT,stop_sell,19556.45182999,0.03999016,0.78206564,USDT
2023-01-23T19:00:00Z,BTC/USDT,buy,19665.66891750,0.04052005,0.79685389,USDT
2023-01-23T23:00:00Z,BTC/USDT,sell,19681.94487362,0.04052005,0.79751339,USDT
2023-01-24T03:00:00Z,BTC/USDT,buy,19789.81454329,0.04026208,0.79677910,USDT
2023-01-24T15:00:00Z,BTC/USDT,sell,19957.78444284,0.04026208,0.80354191,USDT
2023-01-24T16:00:00Z,BTC/USDT,buy,20280.05495800,0.03930918,0.79719233,USDT
2023-01-24T21:00:00Z,BTC/USDT,stop_sell,19824.54806114,0.03930918,0.77928673,USDT
2023-01-24T22:00:00Z,BTC/USDT,buy,19882.35319850,0.04001704,0.79563292,USDT
2023-01-24T23:00:00Z,BTC/USDT,sell,19483.06174093,0.04001704,0.77965446,USDT
2023-01-26T08:00:00Z,BTC/USDT,buy,19674.79031692,0.04036779,0.79422780,USDT
2023-01-26T14:00:00Z,BTC/USDT,sell,19509.57677978,0.04036779,0.78755850,USDT
2023-01-27T14:00:00Z,BTC/USDT,buy,19143.41321715,0.04145381,0.79356741,USDT
2023-01-27T20:00:00Z,BTC/USDT,sell,19137.75719257,0.04145381,0.79333295,USDT
2023-01-27T21:00:00Z,BTC/USDT,buy,19086.95122726,0.0415688,0.79342166,USDT
2023-01-28T03:00:00Z,BTC/USDT,sell,18935.47904724,0.0415688,0.78712514,USDT
2023-01-28T04:00:00Z,BTC/USDT,buy,18973.22305959,0.04178474,0.79279119,USDT
2023-01-28T09:00:00Z,BTC/USDT,sell,19024.21949482,0.04178474,0.79492207,USDT
2023-01-28T10:00:00Z,BTC/USDT,buy,19223.77799746,0.0412424,0.79283474,USDT
2023-01-28T19:00:00Z,BTC/USDT,sell,19134.55604195,0.0412424,0.78915501,USDT
2023-01-28T20:00:00Z,BTC/USDT,buy,19179.99906893,0.04131458,0.79241361,USDT
2023-01-28T22:00:00Z,BTC/USDT,sell,18908.77565961,0.04131458,0.78120812,USDT
2023-01-31T16:00:00Z,BTC/USDT,buy,17520.13488160,0.04517035,0.79139062,USDT
2023-01-31T17:00:00Z,BTC/USDT,sell,17408.27943404,0.04517035,0.78633807,USDT
2023-02-01T12:00:00Z,BTC/USDT,buy,17507.37069169,0.04517298,0.79086011,USDT
2023-02-01T14:00:00Z,BTC/USDT,sell,17346.53129055,0.04517298,0.78359451,USDT
2023-02-01T15:00:00Z,BTC/USDT,buy,17328.76747371,0.04559773,0.79015246,USDT
2023-02-01T16:00:00Z,BTC/USDT,sell,17358.71535048,0.04559773,0.79151802,USDT
2023-02-01T17:00:00Z,BTC/USDT,buy,17490.57539524,0.04517491,0.79013517,USDT
2023-02-01T21:00:00Z,BTC/USDT,stop_sell,17123.58693129,0.04517491,0.77355650,USDT
2023-02-02T03:00:00Z,BTC/USDT,buy,17247.09637957,0.04572845,0.78868298,USDT
2023-02-02T04:00:00Z,BTC/USDT,sell,17156.45426861,0.04572845,0.78453806,USDT
2023-02-02T10:00:00Z,BTC/USDT,buy,17555.73980616,0.04489844,0.78822533,USDT
2023-02-02T12:00:00Z,BTC/USDT,sell,17461.22948077,0.04489844,0.78398196,USDT
2023-02-02T14:00:00Z,BTC/USDT,buy,17571.01752921,0.04483291,0.78775985,USDT
2023-02-02T17:00:00Z,BTC/USDT,stop_sell,17214.87658070,0.04483291,0.77179301,USDT
2023-02-02T18:00:00Z,BTC/USDT,buy,17219.08680778,0.04566776,0.78635712,USDT
2023-02-03T06:00:00Z,BTC/USDT,sell,17372.62885824,0.04566776,0.79336905,USDT
2023-02-03T07:00:00Z,BTC/USDT,buy,17545.57532546,0.04484275,0.78679185,USDT
2023-02-03T08:00:00Z,BTC/USDT,sell,17287.31449776,0.04484275,0.77521072,USDT
2023-02-07T01:00:00Z,BTC/USDT,buy,16071.71693455,0.04888961,0.78573997,USDT
2023-02-08T02:00:00Z,BTC/USDT,sell,16037.17773383,0.04888961,0.78405136,USDT
2023-02-10T04:00:00Z,BTC/USDT,buy,14089.54010643,0.05574909,0.78547904,USDT
2023-02-10T05:00:00Z,BTC/USDT,sell,13852.98362021,0.05574909,0.77229123,USDT
