ts,symbol,side,price,qty,fee,fee_currency
2023-01-02T15:00:00Z,LINK/USDT,buy,5.26753645,151.9495892,0.80040000,USDT
2023-01-03T13:00:00Z,LINK/USDT,sell,5.44784571,151.9495892,0.82779792,USDT
2023-01-04T11:00:00Z,LINK/USDT,buy,5.51179152,145.59015988,0.80246261,USDT
2023-01-04T18:00:00Z,LINK/USDT,sell,5.46819853,145.59015988,0.79611590,USDT
2023-01-05T00:00:00Z,LINK/USDT,buy,5.52442283,145.14216091,0.80182667,USDT
2023-01-05T03:00:00Z,LINK/USDT,sell,5.52231646,145.14216091,0.80152094,USDT
2023-01-07T20:00:00Z,LINK/USDT,buy,5.60889204,142.92909528,0.80167386,USDT
2023-01-07T21:00:00Z,LINK/USDT,sell,5.51105310,142.92909528,0.78768983,USDT
2023-01-08T21:00:00Z,LINK/USDT,buy,5.46000964,146.59816074,0.80042737,USDT
2023-01-08T22:00:00Z,LINK/USDT,sell,5.43230049,146.59816074,0.79636526,USDT
2023-01-09T00:00:00Z,LINK/USDT,buy,5.47528427,146.1064654,0.79997443,USDT
2023-01-09T03:00:00Z,LINK/USDT,stop_sell,5.35797303,146.1064654,0.78283450,USDT
2023-01-14T06:00:00Z,LINK/USDT,buy,4.43001990,180.24204896,0.79847586,USDT
2023-01-14T11:00:00Z,LINK/USDT,sell,4.37049366,180.24204896,0.78774673,USDT
2023-01-14T12:00:00Z,LINK/USDT,buy,4.44190784,179.53775074,0.79749014,USDT
2023-01-14T18:00:00Z,LINK/USDT,sell,4.37138821,179.53775074,0.78482921,USDT
2023-01-15T00:00:00Z,LINK/USDT,buy,4.49106841,177.31863337,0.79635011,USDT
2023-01-15T03:00:00Z,LINK/USDT,sell,4.48884845,177.31863337,0.79595647,USDT
2023-01-15T05:00:00Z,LINK/USDT,buy,4.51185880,176.46632861,0.79619116,USDT
2023-01-15T08:00:00Z,LINK/USDT,sell,4.50216779,176.46632861,0.79448102,USDT
2023-01-15T11:00:00Z,LINK/USDT,buy,4.57514743,173.96750013,0.79592696,USDT
2023-01-15T13:00:00Z,LINK/USDT,stop_sell,4.49305392,173.96750013,0.78164536,USDT
2023-01-15T14:00:00Z,LINK/USDT,buy,4.49155265,176.92269335,0.79465759,USDT
2023-01-15T15:00:00Z,LINK/USDT,stop_sell,4.39851710,176.92269335,0.77819749,USDT
2023-01-16T09:00:00Z,LINK/USDT,buy,4.59527249,172.61527737,0.79321424,USDT
2023-01-16T12:00:00Z,LINK/USDT,stop_sell,4.48923683,172.61527737,0.77491086,USDT
2023-01-16T16:00:00Z,LINK/USDT,buy,4.55407390,173.82759653,0.79162372,USDT
2023-01-17T04:00:00Z,LINK/USDT,sell,4.49717629,173.82759653,0.78173335,USDT
2023-01-17T06:00:00Z,LINK/USDT,buy,4.64062815,170.38774425,0.79070616,USDT
2023-01-18T13:00:00Z,LINK/USDT,sell,4.83945106,170.38774425,0.82458315,USDT
2023-01-18T14:00:00Z,LINK/USDT,buy,4.91418086,161.42840723,0.79328839,USDT
2023-01-18T15:00:00Z,LINK/USDT,sell,4.84105526,161.42840723,0.78148384,USDT
2023-01-19T14:00:00Z,LINK/USDT,buy,4.90567561,161.48999062,0.79221751,USDT
2023-01-19T20:00:00Z,LINK/USDT,sell,4.92263345,161.48999062,0.79495603,USDT
2023-01-19T21:00:00Z,LINK/USDT,buy,4.93978966,160.39340072,0.79230966,USDT
2023-01-20T13:00:00Z,LINK/USDT,sell,4.98560995,160.39340072,0.79965893,USDT
2023-01-20T15:00:00Z,LINK/USDT,buy,5.00416683,158.42207175,0.79277048,USDT
2023-01-20T16:00:00Z,LINK/USDT,sell,4.93561096,158.42207175,0.78190971,USDT
2023-01-27T03:00:00Z,LINK/USDT,buy,4.47035406,177.11687565,0.79177514,USDT
2023-01-27T05:00:00Z,LINK/USDT,stop_sell,4.38171055,177.11687565,0.77607488,USDT
2023-01-30T14:00:00Z,LINK/USDT,buy,3.82303156,206.74509012,0.79039300,USDT
2023-01-31T11:00:00Z,LINK/USDT,sell,4.04325036,206.74509012,0.83592216,USDT
2023-01-31T12:00:00Z,LINK/USDT,buy,4.10391293,193.45122599,0.79390699,USDT
2023-01-31T14:00:00Z,LINK/USDT,sell,4.11598698,193.45122599,0.79624273,USDT
2023-01-31T16:00:00Z,LINK/USDT,buy,4.10778387,193.2834567,0.79396667,USDT
2023-01-31T19:00:00Z,LINK/USDT,sell,4.08380508,193.2834567,0.78933196,USDT
2023-01-31T20:00:00Z,LINK/USDT,buy,4.10037216,193.51145329,0.79346898,USDT
2023-01-31T21:00:00Z,LINK/USDT,stop_sell,4.01684978,193.51145329,0.77730644,USDT
2023-02-01T17:00:00Z,LINK/USDT,buy,4.06015706,195.07856204,0.79204960,USDT
2023-02-01T20:00:00Z,LINK/USDT,sell,4.07922637,195.07856204,0.79576961,USDT
2023-02-02T02:00:00Z,LINK/USDT,buy,4.11884539,192.34037378,0.79222026,USDT
2023-02-02T04:00:00Z,LINK/USDT,stop_sell,4.03934321,192.34037378,0.77692878,USDT
2023-02-03T13:00:00Z,LINK/USDT,buy,3.92653429,201.41699531,0.79087074,USDT
2023-02-03T14:00:00Z,LINK/USDT,sell,3.90886959,201.41699531,0.78731277,USDT
2023-02-03T15:00:00Z,LINK/USDT,buy,3.94784394,200.22565557,0.79045964,USDT
2023-02-05T06:00:00Z,LINK/USDT,sell,4.20640774,200.22565557,0.84223075,USDT
2023-02-05T07:00:00Z,LINK/USDT,buy,4.14913553,191.47909557,0.79447272,USDT
2023-02-05T09:00:00Z,LINK/USDT,sell,4.13777308,191.47909557,0.79229705,USDT
2023-02-09T11:00:00Z,LINK/USDT,buy,3.82359484,207.7028571,0.79417157,USDT
2023-02-09T12:00:00Z,LINK/USDT,sell,3.76546932,207.7028571,0.78209874,USDT
2023-02-10T06:00:00Z,LINK/USDT,buy,3.83713761,206.68508121,0.79307910,USDT
2023-02-11T12:00:00Z,LINK/USDT,sell,4.16664663,206.68508121,0.86118370,USDT
2023-02-12T07:00:00Z,LINK/USDT,buy,4.19149070,190.48062872,0.79839778,USDT
2023-02-12T10:00:00Z,LINK/USDT,stop_sell,4.08645993,190.48062872,0.77839146,USDT
2023-02-15T13:00:00Z,LINK/USDT,buy,3.70242629,215.17518752,0.79667027,USDT
2023-02-15T17:00:00Z,LINK/USDT,sell,3.67914051,215.17518752,0.79165975,USDT
2023-02-17T00:00:00Z,LINK/USDT,buy,3.56218820,223.49804476,0.79614210,USDT
2023-02-17T03:00:00Z,LINK/USDT,sell,3.53961031,223.49804476,0.79109598,USDT
2023-02-17T04:00:00Z,LINK/USDT,buy,3.56631527,223.09053062,0.79561117,USDT
2023-02-17T05:00:00Z,LINK/USDT,stop_sell,3.46962375,223.09053062,0.77404020,USDT
2023-02-18T03:00:00Z,LINK/USDT,buy,3.45067247,230.03023219,0.79375899,USDT
2023-02-18T07:00:00Z,LINK/USDT,stop_sell,3.37720126,230.03023219,0.77685839,USDT
2023-02-18T08:00:00Z,LINK/USDT,buy,3.39951991,233.05660066,0.79228055,USDT
2023-02-18T09:00:00Z,LINK/USDT,sell,3.39420505,233.05660066,0.79104189,USDT
2023-02-18T11:00:00Z,LINK/USDT,buy,3.43206317,230.78091583,0.79205468,USDT
2023-02-18T12:00:00Z,LINK/USDT,sell,3.40488970,230.78091583,0.78578356,USDT
2023-02-19T20:00:00Z,LINK/USDT,buy,3.36206119,235.39918138,0.79142645,USDT
2023-02-20T04:00:00Z,LINK/USDT,stop_sell,3.27636061,235.39918138,0.77125261,USDT
2023-02-20T05:00:00Z,LINK/USDT,buy,3.25724081,242.44036822,0.78968666,USDT
2023-02-20T11:00:00Z,LINK/USDT,sell,3.24064787,242.44036822,0.78566386,USDT
2023-02-20T22:00:00Z,LINK/USDT,buy,3.35249841,235.41803389,0.78923858,USDT
2023-02-21T13:00:00Z,LINK/USDT,sell,3.36660186,235.41803389,0.79255879,USDT
2023-02-21T14:00:00Z,LINK/USDT,buy,3.38479355,233.21296115,0.78937773,USDT
2023-02-22T02:00:00Z,LINK/USDT,sell,3.51842591,233.21296115,0.82054253,USDT
2023-02-22T04:00:00Z,LINK/USDT,buy,3.46388308,228.57102333,0.79174330,USDT
2023-02-22T13:00:00Z,LINK/USDT,sell,3.42778525,228.57102333,0.78349238,USDT
2023-02-23T15:00:00Z,LINK/USDT,buy,3.60372296,219.48324624,0.79095681,USDT
2023-02-23T19:00:00Z,LINK/USDT,stop_sell,3.51133534,219.48324624,0.77067928,USDT
2023-02-23T20:00:00Z,LINK/USDT,buy,3.54526675,222.60914707,0.78920881,USDT
2023-02-24T10:00:00Z,LINK/USDT,sell,3.57374923,222.60914707,0.79554927,USDT
2023-02-24T11:00:00Z,LINK/USDT,buy,3.54937280,222.45886748,0.78958945,USDT
2023-02-24T12:00:00Z,LINK/USDT,sell,3.52315254,222.45886748,0.78375652,USDT
2023-02-25T17:00:00Z,LINK/USDT,buy,3.54294259,222.69529799,0.78899666,USDT
2023-02-25T22:00:00Z,LINK/USDT,stop_sell,3.45745370,222.69529799,0.76995868,USDT
2023-02-25T23:00:00Z,LINK/USDT,buy,3.47073950,226.85311766,0.78734808,USDT
2023-02-26T02:00:00Z,LINK/USDT,sell,3.41032898,226.85311766,0.77364376,USDT
2023-02-26T06:00:00Z,LINK/USDT,buy,3.46240034,227.04660511,0.78612624,USDT
2023-02-26T08:00:00Z,LINK/USDT,stop_sell,3.38513876,227.04660511,0.76858426,USDT
2023-03-02T13:00:00Z,LINK/USDT,buy,3.20257249,244.98984674,0.78459774,USDT
2023-03-02T16:00:00Z,LINK/USDT,sell,3.14006718,244.98984674,0.76928458,USDT
2023-03-03T01:00:00Z,LINK/USDT,buy,3.21969004,243.26804571,0.78324770,USDT
2023-03-03T05:00:00Z,LINK/USDT,sell,3.18696072,243.26804571,0.77528571,USDT
2023-03-03T06:00:00Z,LINK/USDT,buy,3.20431336,244.19761544,0.78248568,USDT
2023-03-05T04:00:00Z,LINK/USDT,sell,3.37626202,244.19761544,0.82447513,USDT
2023-03-06T11:00:00Z,LINK/USDT,buy,3.36983708,233.16198305,0.78571790,USDT
2023-03-06T18:00:00Z,LINK/USDT,stop_sell,3.30186603,233.16198305,0.76986963,USDT
2023-03-09T07:00:00Z,LINK/USDT,buy,3.00738894,260.79928663,0.78432489,USDT
2023-03-10T05:00:00Z,LINK/USDT,sell,2.97506772,260.79928663,0.77589554,USDT
2023-03-20T02:00:00Z,LINK/USDT,buy,2.01067584,389.68256932,0.78352533,USDT
2023-03-20T12:00:00Z,LINK/USDT,sell,2.05821238,389.68256932,0.80204949,USDT
2023-03-20T22:00:00Z,LINK/USDT,buy,2.12870282,368.71332292,0.78488109,USDT
2023-03-21T11:00:00Z,LINK/USDT,sell,2.09347774,368.71332292,0.77189313,USDT
2023-03-23T03:00:00Z,LINK/USDT,buy,2.13374034,367.29723682,0.78371693,USDT
2023-03-23T04:00:00Z,LINK/USDT,stop_sell,2.09038397,367.29723682,0.76779226,USDT
2023-03-23T12:00:00Z,LINK/USDT,buy,2.08889493,374.51291903,0.78231814,USDT
2023-03-23T15:00:00Z,LINK/USDT,sell,2.07761567,374.51291903,0.77809391,USDT
2023-03-23T18:00:00Z,LINK/USDT,buy,2.13258476,366.6232397,0.78185513,USDT
2023-03-23T20:00:00Z,LINK/USDT,sell,2.10635929,366.6232397,0.77224027,USDT
2023-03-24T00:00:00Z,LINK/USDT,buy,2.13685189,365.47276517,0.78096117,USDT
2023-03-24T01:00:00Z,LINK/USDT,stop_sell,2.08814502,365.47276517,0.76316013,USDT
2023-03-24T02:00:00Z,LINK/USDT,buy,2.09268582,372.44615317,0.77941278,USDT
2023-03-24T06:00:00Z,LINK/USDT,sell,2.06595950,372.44615317,0.76945867,USDT
2023-03-26T04:00:00Z,LINK/USDT,buy,1.99008154,391.18602298,0.77849208,USDT
2023-03-26T07:00:00Z,LINK/USDT,stop_sell,1.94802896,391.18602298,0.76204170,USDT
2023-03-26T08:00:00Z,LINK/USDT,buy,1.92883093,402.86169102,0.77705209,USDT
2023-03-26T10:00:00Z,LINK/USDT,sell,1.91201551,402.86169102,0.77027780,USDT
2023-03-27T07:00:00Z,LINK/USDT,buy,1.91636270,405.13522216,0.77638603,USDT
2023-03-27T18:00:00Z,LINK/USDT,sell,1.93658322,405.13522216,0.78457807,USDT
2023-03-30T07:00:00Z,LINK/USDT,buy,1.79032472,433.95299993,0.77691678,USDT
2023-03-30T11:00:00Z,LINK/USDT,sell,1.74804154,433.95299993,0.75856787,USDT
2023-04-03T16:00:00Z,LINK/USDT,buy,1.69183249,458.27541244,0.77532523,USDT
2023-04-04T14:00:00Z,LINK/USDT,sell,1.77177867,458.27541244,0.81196260,USDT
2023-04-05T06:00:00Z,LINK/USDT,buy,1.87199353,415.66951496,0.77813064,USDT
2023-04-05T11:00:00Z,LINK/USDT,stop_sell,1.82551325,415.66951496,0.75881021,USDT
2023-04-05T13:00:00Z,LINK/USDT,buy,1.83456783,423.23930847,0.77646122,USDT
2023-04-05T17:00:00Z,LINK/USDT,sell,1.80777266,423.23930847,0.76512045,USDT
2023-04-07T01:00:00Z,LINK/USDT,buy,1.80952031,428.52799773,0.77543012,USDT
2023-04-07T04:00:00Z,LINK/USDT,sell,1.78475518,428.52799773,0.76481756,USDT
2023-04-07T06:00:00Z,LINK/USDT,buy,1.79507109,431.43550693,0.77445741,USDT
2023-04-07T08:00:00Z,LINK/USDT,stop_sell,1.75695662,431.43550693,0.75801347,USDT
2023-04-07T10:00:00Z,LINK/USDT,buy,1.75505409,440.45284865,0.77301857,USDT
2023-04-07T11:00:00Z,LINK/USDT,sell,1.75783264,440.45284865,0.77424239,USDT
2023-04-07T13:00:00Z,LINK/USDT,buy,1.76636674,437.61732275,0.77299268,USDT
2023-04-07T14:00:00Z,LINK/USDT,sell,1.75069322,437.61732275,0.76613368,USDT
2023-04-08T04:00:00Z,LINK/USDT,buy,1.76130521,438.49327919,0.77232050,USDT
2023-04-08T05:00:00Z,LINK/USDT,sell,1.74892210,438.49327919,0.76689059,USDT
2023-04-08T09:00:00Z,LINK/USDT,buy,1.78156134,433.19456614,0.77176269,USDT
2023-04-09T23:00:00Z,LINK/USDT,sell,1.82574667,433.19456614,0.79090354,USDT
2023-04-10T04:00:00Z,LINK/USDT,buy,1.85314611,417.22001467,0.77316965,USDT
2023-04-11T08:00:00Z,LINK/USDT,sell,1.98705697,417.22001467,0.82903994,USDT
2023-04-11T09:00:00Z,LINK/USDT,buy,1.98631266,391.43548752,0.77751326,USDT
2023-04-13T05:00:00Z,LINK/USDT,sell,2.20384553,391.43548752,0.86266335,USDT
2023-04-14T02:00:00Z,LINK/USDT,buy,2.27016552,345.43622135,0.78419740,USDT
2023-04-14T05:00:00Z,LINK/USDT,sell,2.21814038,345.43622135,0.76622603,USDT
2023-04-16T05:00:00Z,LINK/USDT,buy,2.21835362,352.79987167,0.78263487,USDT
2023-04-16T05:00:00Z,LINK/USDT,stop_sell,2.16561733,352.79987167,0.76402952,USDT
